Classification,upper_north_sp,upper_west_sp,upper_south_sp,upper_east_sp,shroud_north,shroud_west,shroud_south,shroud_east,shroud_north_pst1hr,shroud_west_pst1hr,shroud_south_pst1hr,shroud_east_pst1hr,upper_west_zone,upper_north_zone,upper_east_zone,upper_south_zone,OAT,OAT_pst1hr,pressure_station,wind_speed,relative_humidity,max_air_temp_pst1hr,min_air_temp_pst1hr
COLD,140,130.7649,124.5309,140.1824,44.50796,46.70954,52.81746,55.60956,42.64455,43.2961,51.67522,44.47516,70.0028,68.07223,70.3205,70.72816,47.97329,45.52823,101.58,26,70,46.94,44.96
HOT,140,104.017,108.6587,140.0768,56.15869,52.17073,51.24933,50.92272,48.55017,49.59481,50.62568,49.87975,70.79463,69.18349,70.18753,70.59766,49.61961,48.27834,101.57,34,76,51.26,49.46
COLD,140,109.4277,101.9077,140.0768,58.54626,53.10347,51.23875,50.67389,55.53734,51.86658,50.61807,50.51152,70.9251,69.65073,70.18176,70.85322,50.22166,49.61961,101.47,30,75,51.8,51.26
HOT,137.3441,106.6133,101.8933,137.4698,49.9507,57.38852,53.96418,52.70549,58.80567,52.47461,50.62809,50.67389,70.8959,69.66018,69.35957,71.01957,51.16962,50.22166,101.45,26,73,53.24,51.44
COLD,106.6133,105.04,140,110.2933,67.1098,68.49539,79.18108,83.76378,65.56314,67.26812,70.82947,68.7677,70.79075,70.7501,71.80592,70.8566,67.77249,66.86086,101.25,0,98,61.88,58.28
HOT,106.6133,107.2479,112.3867,113.1044,69.85881,72.31178,79.80991,78.56757,67.71708,69.43555,78.75769,80.83572,70.34985,70.4671,70.66431,71.43838,71.57069,69.95132,101.17,0,86,68.54,64.22
HOT,106.6133,107.2479,112.3867,113.1044,69.85881,72.31178,79.80991,78.56757,67.71708,69.43555,78.75769,80.83572,70.34985,70.4671,70.66431,71.43838,71.57069,69.95132,101.17,0,86,68.54,64.22
HOT,106.6133,103.9867,140,132.1176,71.3776,75.18609,93.41395,76.76015,70.17285,72.62362,84.45651,80.88953,70.39642,70.43792,70.40793,71.79904,73.45612,71.57069,101.09,5,81,72.68,70.88
COLD,100,103.9867,104.52,108.72,68.45042,69.6935,89.46012,89.44633,68.45042,68.44581,84.6548,90.45381,70.51617,70.63802,71.27865,71.49848,72.53074,70.03495,100.47,5,78,71.42,70.16
HOT,100,103.9867,140,110.5967,69.97202,71.24427,94.3151,86.75868,68.45042,69.9946,89.23934,88.64062,70.6142,70.73341,71.1672,72.25916,73.79741,72.53074,100.4,9,76,74.3,71.6
HOT,123.9333,109.24,140,130.1305,65.63628,68.1285,70.31153,68.5702,68.08769,71.13584,79.84964,72.94138,71.60735,71.33617,71.10245,72.33742,66.46754,69.34531,99.39,32,63,70.16,65.48
COLD,119.48,140,100,119.48,44.80079,44.35878,57.81076,54.9132,44.50324,44.05276,46.58109,52.86667,69.30947,68.65334,71.80728,72.96072,47.57994,45.65133,100.1,22,60,48.2,46.22
HOT,119.48,140,100,119.48,44.80079,45.70326,52.1166,52.79041,44.80772,44.05276,56.20431,58.90327,69.46665,68.58847,71.51056,73.21535,47.58663,46.58345,100.1,41,50,50.18,47.48
HOT,100,124.0585,100,100,45.72279,46.40225,61.66321,59.40634,44.80079,44.35878,59.93538,56.30258,69.7336,68.76182,71.37113,74.40401,48.5343,47.57994,100.1,41,50,50.18,47.48
COLD,100,100,100,100,46.35442,48.09325,53.61054,51.81803,44.80079,45.39056,56.86835,57.47656,70.20825,69.134,71.53976,74.887,48.84727,47.58663,100.08,26,55,50.72,48.2
COLD,100,100,100,101.0159,46.99174,52.21926,57.94277,51.51892,46.35442,47.79227,51.73,51.14584,70.56833,69.21249,70.80766,73.72959,49.55442,48.19113,100.06,26,53,51.8,48.2
HOT,140,120.9448,140,140,53.74682,54.24147,53.71849,56.37148,53.14928,54.24646,54.03297,55.44064,70.25421,68.23382,67.34662,68.15701,54.57948,53.9675,100.14,13,94,55.58,54.68
HOT,140,100,140,140,53.44947,54.24265,54.34872,56.03323,53.74682,53.9327,54.04823,55.73487,70.7211,68.81461,67.74032,68.34784,54.57584,54.57948,100.04,11,96,55.4,54.68
HOT,140,100,140,140,52.50004,53.02493,53.65947,55.13078,54.04954,54.25696,54.64315,56.03323,71.18052,69.22736,68.55273,69.53291,53.9253,55.184,99.94,28,86,55.94,54.86
HOT,140,100,140,140,52.50004,53.02493,53.65947,55.13078,54.04954,54.25696,54.64315,56.03323,71.18052,69.22736,68.55273,69.53291,53.9253,55.184,99.94,28,86,55.94,54.86
HOT,140,100,130.64,140,54.01568,54.96523,55.31068,56.35246,54.63641,55.89765,56.86522,57.92753,71.01947,69.63071,69.09278,69.79908,54.81777,55.7616,99.95,41,71,57.02,55.94
HOT,140,100,122.4854,140,53.71738,55.41175,55.14613,56.36868,54.01568,54.96492,55.61793,56.67522,71.58018,69.80746,69.32111,70.07325,54.81777,54.81777,100,39,67,55.94,55.22
HOT,140,140,140,140,38.64931,38.20837,38.90176,40.82227,38.64931,37.27903,38.28822,40.22198,67.53843,66.15824,66.17517,68.14556,40.36976,40.39582,101.19,32,71,40.46,39.74
HOT,140,140,140,140,38.64931,38.20837,38.90176,41.13205,38.64931,37.27903,38.28822,40.22198,67.67081,66.24303,66.17517,68.30764,40.36976,40.39582,101.19,32,71,40.46,39.74
HOT,140,140,140,140,38.64931,38.20837,38.90176,41.13205,38.64931,37.27903,38.28822,40.22198,67.67081,66.24303,66.17517,68.30764,40.36976,40.39582,101.19,32,71,40.46,39.74
HOT,140,140,140,140,49.71889,39.77375,42.79353,45.69286,38.64931,37.58813,38.59099,40.52022,68.19152,66.55964,66.71951,68.82334,41.63634,40.36976,101.19,32,71,40.46,39.74
HOT,140,140,140,140,49.71889,39.77375,41.42484,45.06502,38.64931,38.20837,38.90176,40.82227,68.25806,66.7288,66.87508,68.91326,41.63634,40.36976,101.2,28,65,42.44,40.1
HOT,140,140,100,140,44.89984,41.3826,54.62544,57.48785,52.69658,41.63442,44.63048,46.4925,69.84327,68.27064,69.91131,73.38578,43.60829,41.63634,101.1,35,56,45.14,42.26
