Classification,lower_north_sp,lower_west_sp,lower_south_sp,lower_east_sp,shroud_north,shroud_west,shroud_south,shroud_east,shroud_north_pst1hr,shroud_west_pst1hr,shroud_south_pst1hr,shroud_east_pst1hr,lower_west_zone,lower_north_zone,lower_east_zone,lower_south_zone,OAT,OAT_pst1hr,pressure_station,wind_speed,relative_humidity,max_air_temp_pst1hr,min_air_temp_pst1hr
HOT,128.5757,100,100,138.0368,47.59231,59.43232,65.68906,51.545,46.04517,47.4663,50.6638,50.7729,70.146,70.15115,71.5492,73.27915,49.55442,48.19113,100.06,26,53,51.8,48.2
COLD,140,140,140,140,53.74682,54.24646,54.01995,56.37148,52.84362,53.9488,54.03297,54.81349,68.19057,67.53687,68.62959,69.08382,54.57948,53.36529,100.14,13,94,55.58,54.68
COLD,140,140,136.6199,140,53.44947,53.9327,54.04823,55.43143,53.74682,54.24646,54.01995,56.37148,68.75741,68.13142,69.14521,69.57548,54.57948,54.57948,100.04,11,96,55.4,54.68
COLD,140,140,120.2722,140,53.44947,54.24265,54.64581,56.03323,53.44947,53.9327,54.04823,55.43143,69.1529,68.48493,69.47701,69.97861,54.57584,54.57948,99.97,28,96,56.48,55.22
COLD,140,140,116.0339,140,53.75147,54.56366,54.64581,56.03323,53.44947,53.9327,54.04823,55.43143,69.1988,68.5406,69.53228,70.06692,54.57584,54.57948,99.97,28,96,56.48,55.22
COLD,140,140,108.4225,140,54.04954,54.56366,54.95041,56.03323,53.44947,53.9327,54.04823,55.72867,69.21407,68.61268,69.67203,70.14346,55.184,54.26501,99.97,28,96,56.48,55.22
COLD,140,140,100.3781,140,54.04954,54.25696,54.64315,56.03323,53.44947,54.24265,54.64581,56.03323,69.28973,68.73929,69.73405,70.24826,55.184,54.57584,99.94,28,91,56.84,55.04
COLD,140,139.7659,101.3297,140,52.80257,53.62746,53.98928,55.73228,53.75147,54.56366,54.95041,56.03323,69.33191,68.83889,69.8595,70.31025,54.56751,55.184,99.94,28,91,56.84,55.04
COLD,140,140,140,140,38.64931,38.20837,38.90176,40.82227,38.64931,37.27903,38.28822,40.22198,64.31408,64.81843,66.42004,66.58105,40.36976,40.39582,101.14,28,71,40.1,39.56
COLD,140,140,140,140,38.64931,38.20837,38.90176,40.82227,38.64931,37.27903,38.28822,40.22198,64.31408,64.81843,66.42004,66.58105,40.36976,40.39582,101.19,32,71,40.46,39.74
COLD,140,140,140,140,38.64931,38.51909,39.22523,41.49492,38.64931,37.27903,38.28822,40.52022,64.4089,64.97063,66.50454,66.70396,40.68839,40.06273,101.19,32,71,40.46,39.74
