Classification,unorth,uwest,usouth,ueast,Shroud North,Shroud West,Shroud South,Shroud East,Lag Shroud North,Lag Shroud West,Lag Shroud South,LagShroud East,uWEST zone,uNORTH zone,uEAST zone,uSOUTH zone,OAT,Lagging OAT,pressure_station,wind_speed,relative_humidity,max_air_temp_pst1hr,min_air_temp_pst1hr
COLD,140.1107,135.3623,140.1202,140.0663,0.931226898,0.994124001,0.989990678,1,0.930079527,0.993602093,0.977499043,1,69.46249,67.76749,66.86662,69.28207,49.40731,48.76513,101.93,18,75,50.72,49.28
COLD,140.1107,135.3404,140.1202,140.0663,0.931683091,1,0.989878521,0.999863229,0.930079527,0.993602093,0.977499043,1,69.48555,67.79668,66.89257,69.21719,49.40731,48.76513,101.93,18,75,50.72,49.28
COLD,140.1107,135.3404,140.1202,140.0663,0.931683091,1,0.989878521,0.999863229,0.930079527,0.993602093,0.977499043,1,69.48555,67.79668,66.89257,69.21719,49.40731,48.76513,101.93,18,75,50.72,49.28
COLD,140.1107,135.3404,140.1202,140.0663,0.931683091,1,0.989878521,0.999863229,0.930079527,0.993602093,0.977499043,1,69.48555,67.79668,66.89257,69.21719,49.40731,48.76513,101.93,18,75,50.72,49.28
COLD,140.1107,135.3404,140.1202,140.0663,0.920453911,0.999880543,0.989994245,1,0.936185493,0.999763725,0.983692774,1,69.50648,67.83237,67.23737,69.38455,49.40731,48.76513,101.93,18,75,50.72,49.28
COLD,140.1107,135.3404,140.1202,140.0663,0.920453911,0.999880543,0.989994245,1,0.936185493,0.999763725,0.983692774,1,69.50648,67.83237,67.23737,69.38455,49.40731,48.76513,101.93,18,75,50.72,49.28
COLD,140.1107,135.3404,140.1202,140.0663,0.920453911,0.999880543,0.989994245,1,0.936185493,0.999763725,0.983692774,1,69.50648,67.83237,67.23737,69.38455,49.40731,48.76513,101.93,18,75,50.72,49.28
COLD,140,135.3662,140,140.0663,0.926315701,0.999880543,0.989994245,1,0.930066657,1,0.989737251,0.999636299,69.50648,67.92451,66.92893,69.37915,50.01318,48.76513,101.93,18,75,50.72,49.28
COLD,140,135.3662,140,140.0663,0.926315701,0.999880543,0.989994245,1,0.930066657,1,0.989737251,0.999636299,69.50648,67.92451,66.92893,69.37915,50.01318,48.76513,101.93,18,75,50.72,49.28
COLD,140,140,140,140.0663,0.926319622,0.999528875,0.989787425,1,0.936267741,1,0.989737251,0.999636299,69.61892,68.02883,66.9952,69.40726,50.01318,48.76513,101.88,24,73,52.34,50.54
